scheme,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
coverage_robust_q50_s2.5,none,0.943750,0.875000,0.200000,10.1640,5
coverage_robust_q50_s2.5,resize_0.5_jpeg50,1.000000,1.000000,1.000000,10.1640,5
coverage_robust_q50_s2.5,saturation_1.5,0.968750,0.937500,0.200000,10.1640,5
coverage_robust_q50_s2.5,saturation_sharpness_webp80,1.000000,1.000000,1.000000,10.1640,5
coverage_robust_q50_s2.5,sharpness_2.0,0.981250,0.968750,0.400000,10.1640,5
coverage_robust_q50_s2.5,webp_q50,1.000000,1.000000,1.000000,10.1640,5
coverage_robust_q50_s2.5,webp_q80,1.000000,1.000000,1.000000,10.1640,5
coverage_robust_strong_q50_s3.0,bright_contrast_jpeg80,1.000000,1.000000,1.000000,9.1654,5
coverage_robust_strong_q50_s3.0,brightness_1.5,0.962500,0.937500,0.200000,9.1654,5
coverage_robust_strong_q50_s3.0,contrast_1.5,0.962500,0.937500,0.200000,9.1654,5
coverage_robust_strong_q50_s3.0,gaussian_blur_1.2,1.000000,1.000000,1.000000,9.1654,5
coverage_robust_strong_q50_s3.0,jpeg_q30,1.000000,1.000000,1.000000,9.1654,5
coverage_robust_strong_q50_s3.0,jpeg_q50,1.000000,1.000000,1.000000,9.1654,5
coverage_robust_strong_q50_s3.0,median_filter_3,0.981250,0.968750,0.400000,9.1654,5
coverage_robust_strong_q50_s3.0,none,0.875000,0.843750,0.000000,9.1654,5
coverage_robust_strong_q50_s3.0,resize_0.5_jpeg50,1.000000,1.000000,1.000000,9.1654,5
coverage_robust_strong_q50_s3.0,saturation_1.5,0.962500,0.937500,0.200000,9.1654,5
coverage_robust_strong_q50_s3.0,saturation_sharpness_webp80,1.000000,1.000000,1.000000,9.1654,5
coverage_robust_strong_q50_s3.0,sharpness_2.0,0.968750,0.937500,0.200000,9.1654,5
coverage_robust_strong_q50_s3.0,webp_q50,1.000000,1.000000,1.000000,9.1654,5
coverage_robust_strong_q50_s3.0,webp_q80,1.000000,1.000000,1.000000,9.1654,5
coverage_strong_q30_s3.0,bright_contrast_jpeg80,0.981250,0.968750,0.400000,11.3655,5
coverage_strong_q30_s3.0,brightness_1.5,0.943750,0.906250,0.200000,11.3655,5
coverage_strong_q30_s3.0,contrast_1.5,0.925000,0.906250,0.000000,11.3655,5
coverage_strong_q30_s3.0,gaussian_blur_1.2,0.993750,0.968750,0.800000,11.3655,5
coverage_strong_q30_s3.0,jpeg_q30,0.993750,0.968750,0.800000,11.3655,5
coverage_strong_q30_s3.0,jpeg_q50,0.993750,0.968750,0.800000,11.3655,5
coverage_strong_q30_s3.0,median_filter_3,0.937500,0.906250,0.000000,11.3655,5
coverage_strong_q30_s3.0,none,0.893750,0.875000,0.000000,11.3655,5
coverage_strong_q30_s3.0,resize_0.5_jpeg50,0.993750,0.968750,0.800000,11.3655,5
coverage_strong_q30_s3.0,saturation_1.5,0.925000,0.906250,0.000000,11.3655,5
coverage_strong_q30_s3.0,saturation_sharpness_webp80,0.981250,0.968750,0.400000,11.3655,5
coverage_strong_q30_s3.0,sharpness_2.0,0.931250,0.906250,0.000000,11.3655,5
coverage_strong_q30_s3.0,webp_q50,0.993750,0.968750,0.800000,11.3655,5
coverage_strong_q30_s3.0,webp_q80,0.993750,0.968750,0.800000,11.3655,5
single_center50_s2.5,bright_contrast_jpeg80,1.000000,1.000000,1.000000,10.0783,5
single_center50_s2.5,brightness_1.5,0.993750,0.968750,0.800000,10.0783,5
single_center50_s2.5,contrast_1.5,0.981250,0.937500,0.600000,10.0783,5
single_center50_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,10.0783,5
single_center50_s2.5,jpeg_q30,1.000000,1.000000,1.000000,10.0783,5
single_center50_s2.5,jpeg_q50,1.000000,1.000000,1.000000,10.0783,5
single_center50_s2.5,median_filter_3,0.987500,0.968750,0.600000,10.0783,5
single_center50_s2.5,none,0.918750,0.875000,0.000000,10.0783,5
single_center50_s2.5,resize_0.5_jpeg50,1.000000,1.000000,1.000000,10.0783,5
single_center50_s2.5,saturation_1.5,0.975000,0.937500,0.600000,10.0783,5
single_center50_s2.5,saturation_sharpness_webp80,1.000000,1.000000,1.000000,10.0783,5
single_center50_s2.5,sharpness_2.0,0.993750,0.968750,0.800000,10.0783,5
single_center50_s2.5,webp_q50,1.000000,1.000000,1.000000,10.0783,5
single_center50_s2.5,webp_q80,1.000000,1.000000,1.000000,10.0783,5
single_center50_s3.0,bright_contrast_jpeg80,1.000000,1.000000,1.000000,9.0894,5
single_center50_s3.0,brightness_1.5,0.975000,0.937500,0.600000,9.0894,5
single_center50_s3.0,contrast_1.5,0.968750,0.937500,0.400000,9.0894,5
single_center50_s3.0,gaussian_blur_1.2,1.000000,1.000000,1.000000,9.0894,5
single_center50_s3.0,jpeg_q30,1.000000,1.000000,1.000000,9.0894,5
single_center50_s3.0,jpeg_q50,1.000000,1.000000,1.000000,9.0894,5
single_center50_s3.0,median_filter_3,0.975000,0.937500,0.400000,9.0894,5
single_center50_s3.0,none,0.868750,0.843750,0.000000,9.0894,5
single_center50_s3.0,resize_0.5_jpeg50,1.000000,1.000000,1.000000,9.0894,5
single_center50_s3.0,saturation_1.5,0.968750,0.937500,0.400000,9.0894,5
single_center50_s3.0,saturation_sharpness_webp80,1.000000,1.000000,1.000000,9.0894,5
single_center50_s3.0,sharpness_2.0,0.975000,0.937500,0.600000,9.0894,5
single_center50_s3.0,webp_q50,1.000000,1.000000,1.000000,9.0894,5
single_center50_s3.0,webp_q80,1.000000,1.000000,1.000000,9.0894,5
